,timestamp,timestamp_str,fix_type,latitude,latitude_processed,longitude,longitude_processed,altitude,velocity,speed,acceleration_vector,acceleration_magnitude,horizontal_accuracy,vertical_accuracy,speed_accuracy
0,1679694503.6,2023/03/24 17:48:23.600,2,40.449074993,40.449074993,-79.951965039,-79.951965039,259.9656,"[-4.038489744902266e-05, 1.7844954041279846e-05]",4.415181000483974e-05,"[1.1931556640337666e-05, -5.6111348751749385e-06]",1.318510062339269e-05,,,
1,1679694503.7,2023/03/24 17:48:23.700,2,40.449071045,40.449071045,-79.951963274,-79.951963274,259.9567,"[-3.826661456528864e-05, 1.754057354149179e-05]",4.209519581202637e-05,"[4.118203945800504e-05, -7.692991986366295e-06]",4.189442086511019e-05,,,
2,1679694503.8,2023/03/24 17:48:23.800,2,40.449067278,40.449067278,-79.951961548,-79.951961548,259.955,"[-3.8535978518191255e-05, 1.708355133868448e-05]",4.215292832883578e-05,"[-3.2630884622139955e-07, -1.5933612818165443e-05]",1.593695375228053e-05,,,
3,1679694503.9,2023/03/24 17:48:23.900,2,40.449063422,40.449063422,-79.951959922,-79.951959922,259.9619,"[-3.859156199571555e-05, 1.5409509308931927e-05]",4.15543214890006e-05,"[-4.455274874400363e-06, -2.8483248350640114e-05]",2.8829583951398014e-05,,,
4,1679694504.0,2023/03/24 17:48:24.000,2,40.449059561,40.449059561,-79.951958478,-79.951958478,259.9667,"[-3.842422303956609e-05, 1.392518392839972e-05]",4.0869691259343804e-05,"[1.2975440183147162e-05, -1.3178471603336508e-05]",1.8494165613684136e-05,,,
5,1679694504.1,2023/03/24 17:48:24.100,2,40.449055752,40.449055752,-79.951957148,-79.951957148,259.9715,"[-3.807043425677268e-05, 1.2708592824182945e-05]",4.013559886273189e-05,"[1.2076042543572983e-06, -3.759791945344407e-05]",3.761730792152477e-05,,,
6,1679694504.2,2023/03/24 17:48:24.200,2,40.449051952,40.449051952,-79.951956039,-79.951956039,259.9677,"[-3.791934876071039e-05, 9.732665721869667e-06]",3.914845836671025e-05,"[5.9604382520611304e-05, -2.7352354695368235e-05]",6.558074201352549e-05,,,
7,1679694504.3,2023/03/24 17:48:24.300,2,40.449048339,40.449048339,-79.951955242,-79.951955242,259.9737,"[-3.553162204011793e-05, 5.81230774241725e-06]",3.600387598709836e-05,"[5.081642823592469e-05, -2.6850299880308698e-05]",5.7473889570129056e-05,,,
8,1679694504.4,2023/03/24 17:48:24.400,2,40.449044926,40.449044926,-79.951954732,-79.951954732,259.9641,"[-3.386743454822929e-05, 5.01787931665804e-06]",3.423714701483083e-05,"[0.0002335160278769328, -1.724662218372462e-05]",0.00023415204729442064,,,
9,1679694504.5,2023/03/24 17:48:24.500,2,40.449041951,40.449041951,-79.951954325,-79.951954325,259.9691,"[-3.319100630845089e-05, 3.0365833488889124e-06]",3.3329622533151736e-05,"[-0.001751886809747891, -0.0019087655882942083]",0.0025908480204799313,,,
